,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
232,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296,LORONG AH SOO,PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY) SINGAPORE 536742,536742,33764.9220583495,37008.7061571106,1.35096755912522,103.885120050588,Methodist Girls' School (Secondary)
233,RULANG PRIMARY SCHOOL,6,JURONG WEST STREET 52,RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52 RULANG PRIMARY SCHOOL SINGAPORE 649295,649295,15217.2735802168,36541.3390983045,1.34673868889096,103.718457955487,Rulang Primary School
234,BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),3,CHOA CHU KANG AVENUE 4,BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL),3 CHOA CHU KANG AVENUE 4 BIG HEART STUDENT CARE (CONCORD PRIMARY SCHOOL) SINGAPORE 689814,689814,17231.3486815896,40248.4434567168,1.38026516111464,103.736554295636,Concord Primary School
235,CONCORD PRIMARY SCHOOL,3,CHOA CHU KANG AVENUE 4,CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814,689814,17194.7500582738,40220.0161901619,1.38000806197242,103.736225440727,Concord Primary School
236,PIONEER PRIMARY SCHOOL,31,JURONG WEST STREET 91,PIONEER PRIMARY SCHOOL,31 JURONG WEST STREET 91 PIONEER PRIMARY SCHOOL SINGAPORE 649037,649037,11801.9417791683,35688.3182758801,1.33902264667589,103.687769623983,Pioneer Primary School
237,RAFFLES INSTITUTION LANE,,RAFFLES INSTITUTION LANE,NIL,RAFFLES INSTITUTION LANE,NIL,29215.2811090525,36471.1904138699,1.34610699067776,103.844238724617,Raffles Institution
238,RAFFLES INSTITUTION,1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION SINGAPORE 575954,575954,29397.4034992037,36480.122403916,1.34618775847486,103.845875110532,Raffles Institution
239,RAFFLES INSTITUTION (DINING HALL),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (DINING HALL),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (DINING HALL) SINGAPORE 575954,575954,29281.8145490494,36557.2218292747,1.34688502341737,103.844836475867,Raffles Institution
240,RAFFLES INSTITUTION (MARSHALL BLOCK),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (MARSHALL BLOCK),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (MARSHALL BLOCK) SINGAPORE 575954,575954,29355.0085570058,36419.169827953,1.34563652699047,103.845494163126,Raffles Institution
241,RAFFLES INSTITUTION (SHEARES BLOCK),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (SHEARES BLOCK),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (SHEARES BLOCK) SINGAPORE 575954,575954,29276.3973971987,36501.677687984,1.34638270218392,103.844787797061,Raffles Institution
242,RAFFLES INSTITUTION (YUSOF ISHAK BLOCK),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (YUSOF ISHAK BLOCK),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (YUSOF ISHAK BLOCK) SINGAPORE 575954,575954,29396.8823753279,36486.8899618592,1.34624896188677,103.845870428226,Raffles Institution
243,RAFFLES INSTITUTION BOARDING,1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION BOARDING,1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION BOARDING SINGAPORE 575954,575954,29165.7161584599,36563.4896325395,1.34694171193172,103.843793260239,Raffles Institution
